label,pred,exec_time_ms
0,0,6.699324
0,0,7.514168
1,0,4.89198
0,0,3.320001
2,2,2.304427
2,2,1.121563
0,0,1.666458
0,0,1.251771
0,0,1.31625
0,4,1.240208
0,1,1.214792
0,0,1.273021
0,0,1.241562
0,0,1.22948
0,0,1.272917
3,3,1.239167
0,0,1.326302
0,1,1.2375
2,2,1.289271
1,0,1.347292
0,0,1.252396
0,0,1.293386
0,0,1.54724
2,0,1.104166
0,0,1.130678
0,0,1.10651
0,0,1.10151
0,0,1.145105
0,1,1.102917
0,0,1.152656
0,0,1.114271
0,0,1.114583
0,0,1.13375
0,0,1.113907
0,0,1.08823
0,0,1.14099
0,0,1.10724
0,0,1.156979
0,0,1.193906
0,0,1.095052
0,3,1.143437
0,0,1.135729
2,1,1.083594
0,0,1.063854
0,0,1.142344
0,1,1.066302
0,0,1.064167
0,3,1.119375
0,0,1.089635
0,0,1.066094
0,0,1.150833
0,1,1.063282
0,0,1.067084
0,0,1.161823
0,0,1.093906
0,3,1.135938
0,0,1.193021
0,0,1.375573
0,0,1.094219
0,0,1.219896
0,0,1.058906
0,0,1.046562
2,2,1.100625
0,0,1.052812
0,0,1.160938
0,0,1.068698
0,0,1.055312
0,0,1.088906
1,1,1.066459
0,0,1.038073
0,0,1.168333
0,0,1.067761
0,0,1.064114
0,2,1.029792
0,0,1.082604
0,0,1.057761
0,0,1.088386
1,0,1.041251
0,0,1.047812
0,0,1.043803
0,0,1.124219
0,0,1.155416
1,0,1.091354
0,0,1.044062
0,0,1.046406
0,0,1.050209
0,0,1.143282
0,0,1.04776
0,0,1.072187
0,0,1.251718
0,0,1.075573
0,0,1.031719
0,0,1.081667
0,0,1.050052
0,1,1.051667
0,0,1.070365
1,1,1.09974
0,0,1.142552
0,0,1.09026
0,0,1.071823
2,2,1.112864
0,0,1.086771
0,1,1.032344
0,0,1.096198
0,0,1.043906
0,0,1.039375
0,0,1.062083
2,3,1.644584
0,0,1.064896
0,0,1.124532
0,0,1.025417
0,0,1.034636
0,0,1.059323
0,0,1.027657
0,0,1.022865
0,0,1.086407
0,3,1.008333
0,0,1.017031
0,0,1.031719
0,0,1.120261
0,0,1.008073
0,0,1.116823
0,0,1.055573
0,0,1.034323
0,0,1.026458
0,0,1.071875
0,0,0.995
0,0,1.018594
0,0,1.048177
0,0,0.998334
0,1,0.994271
0,0,1.100729
0,0,1.014687
0,3,1.014011
0,0,1.047292
0,0,1.019427
0,0,1.028385
0,0,1.074011
0,0,1.022605
0,0,0.99375
0,0,1.058803
0,0,1.016666
0,3,1.018385
0,0,0.999792
0,0,1.053073
0,2,1.017812
0,0,1.004688
1,0,1.114948
0,1,1.033959
0,0,1.134479
0,0,1.065364
0,0,1.008646
0,0,0.992448
0,0,1.067292
0,0,1.014115
0,0,1.00823
0,0,1.104896
0,0,1.028125
0,0,1.032552
0,0,1.060156
0,0,1.005052
0,0,1.012552
0,0,1.062657
0,0,1.01849
0,0,1.010105
0,3,1.012865
0,3,1.026406
0,0,1.014896
0,0,1.005782
0,0,1.071458
0,3,1.009792
0,1,0.995625
0,0,1.052239
0,0,1.027032
2,2,1.025677
0,0,1.053281
0,0,1.008281
0,0,1.008958
0,0,1.231042
0,0,1.053437
0,0,1.01073
0,0,1.059271
2,2,1.007812
0,0,1.005261
0,0,1.095365
0,0,1.021562
0,0,1.018646
0,0,1.03724
0,0,1.013333
0,0,0.998907
0,0,1.012917
1,1,1.042865
0,0,1.013125
0,0,1.005677
0,3,1.033646
0,0,1.01599
0,0,1.014948
0,3,1.04474
0,0,0.982969
2,2,0.997604
0,0,1.055
0,0,0.999739
0,0,1.001093
0,0,1.08
0,0,1.005052
0,0,1.028854
0,0,0.979479
0,0,1.043646
2,2,1.117188
0,1,1.003646
1,0,1.11927
0,0,1.009166
0,0,1.003542
0,0,1.060469
0,0,0.981667
0,0,0.997605
2,2,1.078437
0,0,1.009948
0,0,1.003385
0,0,1.062969
0,0,0.992396
0,0,1.023698
2,2,0.987188
2,2,1.016198
0,0,1.007657
1,0,0.996979
0,0,1.049635
0,0,1.018541
0,0,1.006771
0,0,1.046042
0,0,1.027657
0,0,1.019635
0,0,1.055626
0,0,1.027344
3,3,1.003073
0,0,1.088593
0,0,1.008489
0,1,1.013021
1,0,1.190416
0,0,1.013803
0,0,1.005208
0,0,1.064531
0,0,1.01974
0,0,0.995573
1,1,0.999896
0,0,1.056563
0,0,1.005416
2,2,1.000521
2,2,1.04448
0,0,1.006719
0,0,1.002135
0,0,1.054688
0,0,1.01776
2,2,0.996875
0,3,1.046614
0,0,1.013959
0,0,1.008334
0,3,1.035885
0,0,1.034739
0,0,0.984271
0,0,0.994896
2,2,1.046771
0,1,0.999843
0,0,1.011927
1,0,1.063178
0,0,1.023073
0,0,1.006875
0,0,1.060469
3,0,1.180261
2,2,1.004479
2,2,1.064062
0,0,1.012135
0,0,0.987552
0,0,1.052969
0,0,0.995677
2,2,1.001042
0,0,1.055573
0,0,0.995834
0,0,1.014427
0,0,1.027813
0,0,1.07698
0,0,0.998333
0,0,1.012032
0,0,1.052083
0,0,1.003438
2,2,0.998907
2,3,1.069532
0,0,1.027344
0,3,0.997135
0,0,1.096771
1,1,1.016406
0,0,1.0075
0,0,1.035833
0,0,0.998802
0,0,1.002865
0,0,0.988698
0,0,1.063334
0,0,0.996562
0,0,1.093646
0,0,1.083177
0,0,1.040677
0,0,0.996302
3,3,1.045261
2,2,1.00526
0,0,1.01401
2,2,1.074114
0,0,1.028177
0,0,1.010313
0,0,1.051041
0,0,1.020261
0,0,1.017031
0,0,1.043698
0,0,1.019479
0,0,1.018645
0,0,1.050729
0,0,1.013126
0,0,0.996563
0,0,1.012813
2,2,1.049219
0,0,1.002969
0,0,1.013751
0,0,1.056094
0,0,1.013021
0,0,0.995833
0,0,1.132708
0,0,1.025364
0,0,1.007344
0,0,1.172709
0,1,1.00901
0,0,1.025573
0,0,1.066615
0,0,0.996666
0,0,1.004532
0,2,1.034375
0,0,0.996614
0,0,1.034219
0,0,1.014114
0,0,1.085
0,0,1.041354
0,0,1.012813
0,0,1.080312
0,0,1.036927
0,0,1.005157
0,0,1.071823
2,2,1.007917
0,0,1.022969
0,1,1.055677
0,0,1.019323
0,0,1.023334
0,0,1.067344
0,0,1.015001
0,0,1.009063
0,0,1.062291
0,0,1.014584
0,0,1.010781
0,0,1.098542
0,0,1.034583
0,0,1.138854
1,2,1.094532
2,2,1.043333
0,0,1.041458
0,0,1.018125
0,0,1.09401
0,0,0.992396
0,0,1.017761
0,0,1.056615
0,0,0.993177
0,0,0.994011
1,0,1.055261
2,3,0.994791
0,0,0.998698
0,0,1.086042
0,0,1.014323
0,0,0.99974
2,2,1.079844
0,0,0.991875
1,0,0.99901
0,0,0.986823
0,0,1.092657
0,0,0.995417
1,0,1.00026
0,0,1.07026
0,0,0.985
2,1,0.999063
0,0,1.077344
0,0,1.003855
0,0,0.990782
0,0,1.165313
0,0,1.012865
0,0,1.009115
0,1,1.076876
0,0,0.9975
0,0,1.002552
0,1,1.140573
0,0,0.99901
2,2,1.010313
2,2,1.049167
0,0,0.994739
0,0,0.984479
0,0,1.002448
2,2,1.113854
0,0,1.065417
0,0,1.009792
0,0,1.060157
2,2,1.027083
0,0,0.975156
0,0,1.046146
1,0,1.008959
0,0,1.009011
0,0,1.09026
0,0,0.987135
0,3,0.995469
0,0,1.071823
2,2,0.993854
0,0,0.988385
2,2,1.026459
0,0,1.065678
0,0,1.138021
0,0,0.995417
0,0,1.127292
0,3,1.003594
0,0,0.978281
0,0,1.056302
0,0,1.005989
0,0,0.998021
1,1,1.106615
0,0,1.018698
0,0,1.000938
0,0,1.094636
0,0,0.992969
0,0,1.000989
0,0,1.106823
0,0,0.996563
0,3,1.001615
0,0,1.033645
0,0,1.01599
0,1,1.011562
0,0,0.992657
0,0,1.067864
2,2,1.018854
0,0,0.978385
0,3,1.067031
0,0,0.993386
0,0,1.017552
0,0,1.035417
2,2,1.007916
0,0,1.015886
0,0,1.278386
0,1,1.000312
0,0,0.984375
0,0,1.09177
0,0,1.027761
0,0,1.002032
1,1,1.086979
0,1,1.000469
0,0,1.015938
0,0,1.004323
0,1,1.09375
2,2,1.012135
0,0,0.99099
0,0,1.041823
0,0,0.993854
0,0,1.019635
0,0,1.06849
0,0,1.003698
0,1,0.982292
0,0,1.090885
0,0,1.005469
0,0,1.091562
0,0,1.133958
0,0,1.001823
0,0,1.006927
0,0,1.076719
0,0,0.981927
0,0,0.997031
0,0,1.006302
0,0,1.049636
0,0,1.100521
0,0,0.991718
0,0,1.062344
0,0,0.987708
0,0,0.983906
0,0,1.039427
0,0,1.289792
0,0,1.032604
2,2,1.102865
0,0,1.027032
0,0,1.027552
0,0,1.126719
0,0,1.016719
0,0,1.018021
0,0,1.059687
0,0,1.005886
0,4,1.022135
0,0,1.10599
0,0,1.021927
0,0,0.992032
0,0,1.068021
0,0,1.016198
0,0,1.037916
0,0,1.055104
2,2,1.024323
0,0,1.02849
0,0,1.0025
0,0,1.117083
0,0,1.016771
0,0,1.133855
0,3,1.030989
0,0,1.061041
0,0,1.026198
0,0,1.057448
0,0,1.026771
0,0,1.279323
0,0,0.993542
0,0,0.982604
0,0,1.024584
0,0,0.986719
0,0,0.977552
2,2,0.991354
0,0,1.081094
0,0,0.982604
0,0,0.983125
0,0,1.062813
0,1,0.992136
0,0,0.984323
0,0,1.085834
0,0,0.980937
0,0,1.031458
0,0,1.026041
0,1,0.999323
0,0,0.980885
0,0,1.507708
0,3,0.972448
0,0,0.990365
