label,pred,exec_time_ms
0,0,8.733022
0,0,0.996927
1,1,0.935052
0,0,0.992239
2,2,0.966719
2,2,0.951199
0,0,1.008541
0,0,0.957343
0,0,0.970157
0,0,0.955521
0,0,1.014792
0,0,1.069167
0,0,1.094687
0,0,1.132032
0,0,1.020104
3,3,0.945625
0,0,1.063281
0,0,0.941562
2,2,0.944166
1,1,0.979427
0,0,0.955052
0,0,0.935208
0,0,0.943021
2,2,0.977605
0,0,0.980469
0,0,0.970625
0,0,1.028125
0,0,0.942657
0,0,0.943125
0,0,0.956563
0,0,1.004011
0,0,0.941355
0,0,0.941667
0,0,1.010625
0,0,0.940365
0,0,0.939375
0,0,0.945468
0,0,0.98448
0,0,0.943229
0,0,0.938281
0,0,1.003073
0,0,0.934427
2,2,0.93901
0,0,0.934479
0,0,0.97177
0,0,0.93651
0,0,0.969636
0,0,1.00526
0,0,0.956563
0,0,0.935052
0,0,0.939739
0,0,0.947916
0,0,0.946459
0,0,0.93974
0,0,1.030833
0,0,0.93849
0,0,0.945625
0,0,0.993854
0,0,0.94651
0,0,0.96474
0,0,0.947709
0,0,0.991511
2,2,0.937968
0,0,0.945937
0,0,0.999115
0,0,0.966146
0,0,0.940625
0,0,0.946771
1,1,1.003386
0,0,0.948438
0,0,0.938593
0,0,0.987708
0,0,0.946511
0,0,0.949115
0,0,0.947396
0,0,1.028386
0,0,0.939792
1,1,0.946458
0,0,1.000261
0,0,0.943073
0,0,0.940625
0,0,0.941458
1,1,0.979584
0,0,0.93901
0,0,0.946979
0,0,0.973646
0,0,0.931719
0,0,0.937083
0,0,0.943177
0,0,1.034115
0,0,0.94
0,0,0.939115
0,0,0.969375
0,0,0.951667
0,0,0.938333
0,0,0.945625
1,1,1.004792
0,0,0.942448
0,0,0.934688
0,0,1.00526
2,2,0.935469
0,0,0.947553
0,0,0.979636
0,0,0.989532
0,0,0.947657
0,0,0.942761
0,0,0.98474
2,2,0.940937
0,0,0.946719
0,0,1.017969
0,0,0.949427
0,0,0.945781
0,0,0.948802
0,0,0.984948
0,0,0.947292
0,0,0.957188
0,0,1.048906
0,0,0.946146
0,0,0.944948
0,0,1.005365
0,0,1.002083
0,0,0.943698
0,0,0.958958
0,0,1.018959
0,0,0.961407
0,0,0.945105
0,0,0.988229
0,0,0.948646
0,0,0.956719
0,0,0.944063
0,0,1.024896
0,0,0.948802
0,0,0.938594
0,0,0.996354
0,0,0.942656
0,0,0.956615
0,0,0.947969
0,0,1.037969
0,0,0.950938
0,0,0.945834
0,0,1.04099
0,0,0.956198
0,0,0.964583
0,0,0.94849
0,0,0.996614
0,0,0.953438
0,0,0.955365
1,1,1.015469
0,0,0.942657
0,0,1095.652922
0,0,0.790417
0,0,0.782344
0,0,0.767813
0,0,0.825782
0,0,0.804896
0,0,0.777656
0,0,0.774271
0,0,0.817396
0,0,0.771615
0,0,0.865417
0,0,0.776198
0,0,0.793333
0,0,0.764062
0,0,0.778698
0,3,0.771719
0,0,0.765052
0,0,0.829323
0,0,0.772292
0,0,0.77
0,0,0.775469
0,0,0.813073
0,0,0.77073
0,0,0.765781
0,0,0.768542
2,2,0.824635
0,0,0.782084
0,0,0.768646
0,0,0.768958
0,0,0.859688
0,0,0.768906
0,0,0.769323
0,0,0.775208
2,2,0.771458
0,0,0.821198
0,0,0.767448
0,0,0.768541
0,0,0.766771
0,0,0.801354
0,0,0.787761
0,0,0.768125
0,0,0.774323
1,1,0.829167
0,0,0.768802
0,0,0.769531
0,0,0.769792
0,0,0.80651
0,0,0.782604
0,0,0.777083
0,0,0.767813
2,2,0.772031
0,0,0.808021
0,0,0.772187
0,0,0.770157
0,0,0.774323
0,0,0.791823
0,0,0.784479
0,0,0.767865
0,0,0.76875
2,2,0.832187
0,0,0.766355
1,1,0.766979
0,0,0.769844
0,0,0.767344
0,0,0.769948
0,0,0.769323
0,0,0.776094
2,2,0.774584
0,0,0.840105
0,0,0.77151
0,0,0.773229
0,0,0.781459
0,0,0.805521
2,2,0.777708
2,2,0.771302
0,0,0.776511
1,2,0.797761
0,0,0.771771
0,0,0.772395
0,0,0.775729
0,0,0.787135
0,0,0.777917
0,0,0.772136
0,0,0.771875
0,0,0.775885
3,3,0.835521
0,0,0.781354
0,0,0.783021
