label,pred,exec_time_ms,pred_0,pred_1,pred_2,pred_3,pred_4
0,0,1.5838146209716797,0.99999285,7.154819e-06,2.0970391e-12,1.7158584e-08,3.3815826e-12
0,0,0.7445812225341797,0.9995784,0.00010350575,2.30167e-08,0.0003177232,3.4513906e-07
1,0,0.7429122924804688,0.73615426,0.2637659,1.3929249e-05,5.900865e-05,6.8725135e-06
0,0,0.7243156433105469,0.9997516,0.00019009259,3.532971e-07,5.727342e-05,6.433506e-07
2,2,0.7345676422119141,2.1898483e-10,3.442717e-14,0.9999628,3.7179936e-05,2.1569671e-10
2,2,0.759124755859375,3.5576954e-20,2.0940873e-09,1.0,1.0338623e-09,2.714102e-18
0,0,0.8027553558349609,0.9999975,2.4785415e-06,2.4558393e-09,2.6015844e-08,6.038392e-10
0,0,0.78582763671875,0.99996936,3.0068479e-05,1.8419701e-08,5.9388884e-07,1.5543808e-09
0,0,0.8537769317626953,0.99999964,3.6635137e-07,7.4022194e-10,8.51734e-09,8.744945e-11
0,0,0.7529258728027344,0.99999714,2.1059086e-06,1.8424533e-12,7.356707e-07,7.160073e-11
0,0,0.6868839263916016,0.99987376,0.00012607299,3.933393e-08,1.518653e-07,1.1937544e-10
0,0,0.6740093231201172,1.0,5.0975424e-13,2.4983283e-17,3.726381e-11,2.1295891e-13
0,0,0.6740093231201172,0.9999938,1.3462315e-08,1.8751231e-07,5.961383e-06,6.1531717e-09
0,0,0.6728172302246094,0.9999453,4.644402e-05,7.495638e-07,7.4529094e-06,6.296265e-08
0,0,0.7340908050537109,0.99994695,1.1106235e-06,6.885247e-11,5.1936953e-05,1.2863617e-08
3,3,0.6775856018066406,3.732648e-06,1.2404478e-06,3.1099662e-05,0.99989545,6.8492016e-05
0,0,0.6742477416992188,0.9999349,6.454575e-05,7.769899e-10,5.621764e-07,5.3184457e-10
0,0,0.6792545318603516,0.9999831,1.6959704e-05,2.0407343e-13,1.9841645e-08,3.5819568e-12
2,2,0.6775856018066406,4.4614535e-05,0.0008991326,0.99904245,1.37719535e-05,1.38895e-11
1,1,0.6768703460693359,0.009176,0.98931307,0.0011861322,0.00032484822,6.5362653e-09
0,0,0.6742477416992188,0.99999666,9.800419e-08,2.8830032e-06,3.38691e-07,4.035568e-09
0,0,0.6797313690185547,0.9994331,0.00026429846,0.00019472561,0.00010257659,5.3449667e-06
0,0,0.6978511810302734,1.0,5.492603e-10,2.9484412e-10,1.3086773e-10,9.544916e-14
2,2,0.6778240203857422,3.2971909e-10,1.342719e-13,0.9332826,0.0665983,0.00011918949
